Canción ,Álbum,Compositor oficial,Compositor principal,clasificación
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
Across the Universe,Let it be,Lennon-McCartney,Lennon,Mejor canción
Across the Universe,Let it be,Lennon-McCartney,Lennon,Favorita
Across the Universe,Let it be,Lennon-McCartney,Lennon,Favorita
Across the Universe,Let it be,Lennon-McCartney,Lennon,Mejor canción
Across the Universe,Let it be,Lennon-McCartney,Lennon,Favorita
Across the Universe,Let it be,Lennon-McCartney,Lennon,Mejor canción
Across the Universe,Let it be,Lennon-McCartney,Lennon,Mejor canción
All my loving,With The Beatles,Lennon-McCartney,McCartney,Favorita
All my loving,With The Beatles,Lennon-McCartney,McCartney,Favorita
All you need is love,Yellow Submarine,Lennon-McCartney,Lennon,Mejor canción
All you need is love,Yellow Submarine,Lennon-McCartney,Lennon,Favorita
All you need is love,Yellow Submarine,Lennon-McCartney,Lennon,Mejor canción
All you need is love,Yellow Submarine,Lennon-McCartney,Lennon,Favorita
And I Love Her,A Hard Day’s Night,Lennon-McCartney,McCartney,Favorita
And I Love Her,A Hard Day’s Night,Lennon-McCartney,McCartney,Favorita
And I Love Her,A Hard Day’s Night,Lennon-McCartney,McCartney,Favorita
And your bird can sing,Revolver,Lennon-McCartney,Lennon,Favorita
Because,Abbey Road,Lennon-McCartney,Lennon,Favorita
Because,Abbey Road,Lennon-McCartney,Lennon,Favorita
Because,Abbey Road,Lennon-McCartney,Lennon,Favorita
Because,Abbey Road,Lennon-McCartney,Lennon,Mejor canción
Being for the benefit of mr Kite,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
Blackbird,The white album,Lennon-McCartney,McCartney,Favorita
Blackbird,The white album,Lennon-McCartney,McCartney,Mejor canción
Blackbird,The white album,Lennon-McCartney,McCartney,Favorita
Blackbird,The white album,Lennon-McCartney,McCartney,Favorita
Blackbird,The white album,Lennon-McCartney,McCartney,Favorita
Blackbird,The white album,Lennon-McCartney,McCartney,Favorita
Blackbird,The white album,Lennon-McCartney,McCartney,Mejor canción
Blackbird,The white album,Lennon-McCartney,McCartney,Favorita
Blackbird,The white album,Lennon-McCartney,McCartney,Favorita
Blackbird,The white album,Lennon-McCartney,McCartney,Favorita
Blackbird,The white album,Lennon-McCartney,McCartney,Mejor canción
Blackbird,The white album,Lennon-McCartney,McCartney,Favorita
Blue Jay Way,The white album,Harrison,Harrison,Mejor canción
Come together,Abbey Road,Lennon-McCartney,Lennon,Favorita
Come together,Abbey Road,Lennon-McCartney,Lennon,Favorita
Come together,Abbey Road,Lennon-McCartney,Lennon,Mejor canción
Come together,Abbey Road,Lennon-McCartney,Lennon,Mejor canción
Come together,Abbey Road,Lennon-McCartney,Lennon,Favorita
Come together,Abbey Road,Lennon-McCartney,Lennon,Mejor canción
Come together,Abbey Road,Lennon-McCartney,Lennon,Favorita
Cry Baby Cry,The white album,Lennon-McCartney,Lennon,Favorita
Dear Prudence,The white album,Lennon-McCartney,Lennon,Favorita
Dear Prudence,The white album,Lennon-McCartney,Lennon,Mejor canción
Dear Prudence,The white album,Lennon-McCartney,Lennon,Favorita
Don’t let me down,Let it be,Lennon-McCartney,Lennon,Favorita
Don’t let me down,Let it be,Lennon-McCartney,Lennon,Favorita
Don’t let me down,Let it be,Lennon-McCartney,Lennon,Mejor canción
Don’t let me down,Let it be,Lennon-McCartney,Lennon,Mejor canción
Drive my car,Rubber Soul,Lennon-McCartney,McCartney,Favorita
Eight days a week,Beatles For Sale,Lennon-McCartney,McCartney,Favorita
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Favorita
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Mejor canción
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Favorita
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Mejor canción
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Mejor canción
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Favorita
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Mejor canción
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Mejor canción
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Mejor canción
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Favorita
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Favorita
Eleanor Rigby,Revolver,Lennon-McCartney,McCartney,Favorita
Everybody’s got something to hide except for me and my monkey,The white album,Lennon-McCartney,Lennon,Favorita
For no One,Revolver,Lennon-McCartney,McCartney,Favorita
For no One,Revolver,Lennon-McCartney,McCartney,Favorita
For no One,Revolver,Lennon-McCartney,McCartney,Favorita
Being for the benefit of mr Kite,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
For you blue,Let it be,Harrison,Harrison,Favorita
Free as a bird,Anthology 1,John-Paul-George-Ringo,Lennon,Mejor canción
Get Back,Let it be,Lennon-McCartney,McCartney,Mejor canción
Get Back,Let it be,Lennon-McCartney,McCartney,Favorita
Get Back,Let it be,Lennon-McCartney,McCartney,Mejor canción
Get Back,Let it be,Lennon-McCartney,McCartney,Mejor canción
Get Back,Let it be,Lennon-McCartney,McCartney,Mejor canción
Get Back,Let it be,Lennon-McCartney,McCartney,Favorita
Glass Onion,The white album,Lennon-McCartney,Lennon,Favorita
Golden Slumbers,Abbey Road,Lennon-McCartney,McCartney,Mejor canción
Golden Slumbers,Abbey Road,Lennon-McCartney,McCartney,Mejor canción
Golden Slumbers,Abbey Road,Lennon-McCartney,McCartney,Favorita
Golden Slumbers,Abbey Road,Lennon-McCartney,McCartney,Favorita
Golden Slumbers,Abbey Road,Lennon-McCartney,McCartney,Favorita
Golden Slumbers,Abbey Road,Lennon-McCartney,McCartney,Mejor canción
Happiness is a warm gun,The white album,Lennon-McCartney,Lennon,Favorita
Happiness is a warm gun,The white album,Lennon-McCartney,Lennon,Favorita
Happiness is a warm gun,The white album,Lennon-McCartney,Lennon,Favorita
Happiness is a warm gun,The white album,Lennon-McCartney,Lennon,Favorita
Happiness is a warm gun,The white album,Lennon-McCartney,Lennon,Favorita
Hello good bye,Magical Mystery Tour,Lennon-McCartney,McCartney,Favorita
Help!,Help!,Lennon-McCartney,Lennon,Mejor canción
Help!,Help!,Lennon-McCartney,Lennon,Favorita
Helter Skelter,The white album,Lennon-McCartney,McCartney,Mejor canción
Helter Skelter,The white album,Lennon-McCartney,McCartney,Mejor canción
Helter Skelter,The white album,Lennon-McCartney,McCartney,Favorita
Here comes the sun,Abbey Road,Harrison,Harrison,Favorita
Here comes the sun,Abbey Road,Harrison,Harrison,Favorita
Here comes the sun,Abbey Road,Harrison,Harrison,Favorita
Here comes the sun,Abbey Road,Harrison,Harrison,Favorita
Here comes the sun,Abbey Road,Harrison,Harrison,Mejor canción
Here comes the sun,Abbey Road,Harrison,Harrison,Mejor canción
Here comes the sun,Abbey Road,Harrison,Harrison,Mejor canción
"Here, there and everywhere",Revolver,Lennon-McCartney,McCartney,Favorita
Hey Bulldog,Yellow Submarine,Lennon-McCartney,Lennon,Mejor canción
Hey Bulldog,Yellow Submarine,Lennon-McCartney,Lennon,Favorita
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Favorita
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Favorita
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Favorita
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Favorita
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Favorita
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Favorita
Hey Jude,Sencillo de 1968,Lennon-McCartney,McCartney,Mejor canción
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
I am the walrus,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
I me mine,Let it be,Harrison,Harrison,Favorita
I Saw Her Standing There,Please Please Me,Lennon-McCartney,McCartney,Mejor canción
I Saw Her Standing There,Please Please Me,Lennon-McCartney,McCartney,Favorita
I Saw Her Standing There,Please Please Me,Lennon-McCartney,McCartney,Favorita
I Saw Her Standing There,Please Please Me,Lennon-McCartney,McCartney,Favorita
I Should Have Known Better,A Hard Day’s Night,Lennon-McCartney,Lennon,Favorita
I want to hold your hand,Sencillo de 1963,Lennon-McCartney,Lennon-McCartney,Favorita
I want to hold your hand,Sencillo de 1963,Lennon-McCartney,Lennon-McCartney,Favorita
I want to hold your hand,Sencillo de 1963,Lennon-McCartney,Lennon-McCartney,Favorita
I Want You (She’s So Heavy),Abbey Road,Lennon-McCartney,Lennon,Mejor canción
I Want You (She’s So Heavy),Abbey Road,Lennon-McCartney,Lennon,Mejor canción
I Want You (She’s So Heavy),Abbey Road,Lennon-McCartney,Lennon,Favorita
I Want You (She’s So Heavy),Abbey Road,Lennon-McCartney,Lennon,Favorita
I Want You (She’s So Heavy),Abbey Road,Lennon-McCartney,Lennon,Favorita
I Want You (She’s So Heavy),Abbey Road,Lennon-McCartney,Lennon,Favorita
I Want You (She’s So Heavy),Abbey Road,Lennon-McCartney,Lennon,Favorita
I Want You (She’s So Heavy),Abbey Road,Lennon-McCartney,Lennon,Favorita
I will,The white album,Lennon-McCartney,McCartney,Favorita
I will,The white album,Lennon-McCartney,McCartney,Favorita
I will,The white album,Lennon-McCartney,McCartney,Favorita
I'm only sleeping,Revolver,Lennon-McCartney,Lennon,Favorita
I'm only sleeping,Revolver,Lennon-McCartney,Lennon,Favorita
I'm only sleeping,Revolver,Lennon-McCartney,Lennon,Favorita
I’m looking through you,Rubber Soul,Lennon-McCartney,McCartney,Favorita
I’m looking through you,Rubber Soul,Lennon-McCartney,McCartney,Favorita
I’ve just seen a face,Help!,Lennon-McCartney,McCartney,Favorita
I’ve just seen a face,Help!,Lennon-McCartney,McCartney,Favorita
I’ve just seen a face,Help!,Lennon-McCartney,McCartney,Mejor canción
If I fell,A Hard Day’s Night,Lennon-McCartney,Lennon,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Mejor canción
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
In my life,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
Let it be,Let it be,Lennon-McCartney,McCartney,Mejor canción
Let it be,Let it be,Lennon-McCartney,McCartney,Mejor canción
Let it be,Let it be,Lennon-McCartney,McCartney,Favorita
Let it be,Let it be,Lennon-McCartney,McCartney,Favorita
Let it be,Let it be,Lennon-McCartney,McCartney,Favorita
Let it be,Let it be,Lennon-McCartney,McCartney,Mejor canción
Let it be,Let it be,Lennon-McCartney,McCartney,Mejor canción
Mother Nature’s son,The white album,Lennon-McCartney,McCartney,Favorita
Norwegian wood,Rubber Soul,Lennon-McCartney,Lennon,Favorita
Norwegian wood,Rubber Soul,Lennon-McCartney,Lennon,Mejor canción
Nowhere man,Rubber Soul,Lennon-McCartney,Lennon,Favorita
Nowhere man,Rubber Soul,Lennon-McCartney,Lennon,Favorita
Obladi Oblada,The white album,Lennon-McCartney,McCartney,Favorita
Obladi Oblada,The white album,Lennon-McCartney,McCartney,Favorita
Paperback writer,Sencillo de 1966,Lennon-McCartney,McCartney,Favorita
Paperback writer,Sencillo de 1966,Lennon-McCartney,McCartney,Mejor canción
Penny Lane,Magical Mystery Tour,Lennon-McCartney,McCartney,Favorita
Real love,Anthology 2,Lennon,Lennon,Favorita
Rocky Raccoon,The white album,Lennon-McCartney,McCartney,Favorita
Rocky Raccoon,The white album,Lennon-McCartney,McCartney,Mejor canción
Sexy Sadie,The white album,Lennon-McCartney,Lennon,Mejor canción
Sgt. Pepper’s Lonely Hearts Club Band,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,McCartney,Mejor canción
She came in through the bathroom window,Abbey Road,Lennon-McCartney,McCartney,Favorita
She’s leaving home,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,McCartney,Favorita
She’s leaving home,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,McCartney,Mejor canción
She’s leaving home,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,McCartney,Favorita
She’s leaving home,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,McCartney,Mejor canción
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Mejor canción
Something,Abbey Road,Harrison,Harrison,Favorita
Something,Abbey Road,Harrison,Harrison,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Favorita
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Favorita
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Favorita
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Favorita
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Favorita
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Favorita
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Favorita
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Strawberry fields forever,Magical Mystery Tour,Lennon-McCartney,Lennon,Mejor canción
Taxman,Revolver,Harrison,Harrison,Favorita
Taxman,Revolver,Harrison,Harrison,Favorita
Taxman,Revolver,Harrison,Harrison,Favorita
The End,Abbey Road,Lennon-McCartney,McCartney,Favorita
The fool on the hill,Magical Mystery Tour,Lennon-McCartney,McCartney,Favorita
The Long an Winding Road,Let it be,Lennon-McCartney,McCartney,Favorita
The Long an Winding Road,Let it be,Lennon-McCartney,McCartney,Mejor canción
The Long an Winding Road,Let it be,Lennon-McCartney,McCartney,Favorita
The Long an Winding Road,Let it be,Lennon-McCartney,McCartney,Favorita
The Long an Winding Road,Let it be,Lennon-McCartney,McCartney,Favorita
The Long One,Abbey Road,Lennon-McCartney,Lennon-McCartney,Mejor canción
The Long One,Abbey Road,Lennon-McCartney,Lennon-McCartney,Mejor canción
The Long One,Abbey Road,Lennon-McCartney,Lennon-McCartney,Mejor canción
The Long One,Abbey Road,Lennon-McCartney,Lennon-McCartney,Favorita
The Long One,Abbey Road,Lennon-McCartney,Lennon-McCartney,Mejor canción
The Long One,Abbey Road,Lennon-McCartney,Lennon-McCartney,Favorita
The Word,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
The Word,Rubber Soul,Lennon-McCartney,Lennon-McCartney,Favorita
